iter,train_loss,val_loss,lr,tokens_per_sec,iter_ms
910,2.148621,,2.856844e-04,19723.3,1661.38
915,2.258181,,2.854858e-04,19725.7,1661.18
920,2.139340,,2.852859e-04,18828.9,1740.30
925,2.222903,,2.850847e-04,17259.6,1898.54
930,2.221975,,2.848822e-04,15994.3,2048.73
935,2.243326,,2.846784e-04,17102.3,1916.00
940,2.237656,,2.844733e-04,16701.6,1961.97
945,2.108118,,2.842670e-04,17435.9,1879.34
950,2.141318,,2.840594e-04,17605.5,1861.23
955,2.170585,,2.838505e-04,17431.5,1879.82
960,2.194489,,2.836403e-04,17549.0,1867.23
965,2.131591,,2.834289e-04,17642.1,1857.38
970,2.172069,,2.832162e-04,17460.5,1876.69
975,2.213411,,2.830022e-04,17537.6,1868.44
980,2.130692,,2.827870e-04,17669.0,1854.55
985,2.104657,,2.825705e-04,17443.7,1878.50
990,2.261251,,2.823527e-04,17525.2,1869.77
995,2.130327,,2.821337e-04,17668.8,1854.56
1000,2.077605,2.080825,2.819134e-04,,
1000,2.184287,,2.819134e-04,5311.8,6168.86
1005,2.154126,,2.816919e-04,14937.9,2193.62
1010,2.193061,,2.814691e-04,17303.8,1893.68
1015,2.137864,,2.812451e-04,17141.4,1911.63
1020,2.138489,,2.810199e-04,16882.8,1940.91
1025,2.104749,,2.807934e-04,17867.4,1833.96
1030,2.127001,,2.805656e-04,19735.3,1660.38
1035,2.123129,,2.803366e-04,19738.2,1660.13
1040,2.139239,,2.801064e-04,19725.1,1661.23
1045,2.158553,,2.798750e-04,19705.2,1662.92
1050,2.133902,,2.796423e-04,19600.1,1671.83
1055,2.169049,,2.794084e-04,19676.7,1665.32
1060,2.113402,,2.791733e-04,19648.8,1667.68
1065,2.127941,,2.789369e-04,19645.3,1667.98
1070,2.114048,,2.786993e-04,19587.1,1672.94
1075,2.163946,,2.784605e-04,18937.0,1730.36
1080,2.113939,,2.782205e-04,19680.6,1664.99
1085,2.112868,,2.779793e-04,19687.5,1664.41
1090,2.107889,,2.777369e-04,19371.1,1691.59
1095,2.117120,,2.774932e-04,19157.0,1710.50
1100,2.113987,,2.772484e-04,19540.1,1676.97
1105,2.115509,,2.770024e-04,19672.9,1665.64
1110,2.099068,,2.767551e-04,19682.7,1664.81
1115,2.093691,,2.765067e-04,19219.3,1704.95
1120,2.115108,,2.762570e-04,19392.6,1689.72
1125,2.127378,,2.760062e-04,19581.9,1673.38
1130,2.075146,,2.757542e-04,19370.5,1691.64
1135,2.095980,,2.755010e-04,19273.8,1700.13
1140,2.075737,,2.752466e-04,19584.0,1673.21
1145,2.087985,,2.749910e-04,19395.5,1689.46
1150,2.080474,,2.747343e-04,19601.8,1671.68
1155,2.151293,,2.744764e-04,19722.7,1661.43
1160,2.052134,,2.742173e-04,19672.5,1665.67
1165,2.107751,,2.739570e-04,19674.7,1665.49
1170,2.121120,,2.736956e-04,19684.7,1664.64
1175,2.090318,,2.734330e-04,19680.9,1664.96
1180,2.138842,,2.731693e-04,19686.9,1664.46
1185,2.001271,,2.729044e-04,19691.7,1664.05
1190,2.125691,,2.726383e-04,19667.9,1666.07
1195,2.071642,,2.723711e-04,19695.2,1663.75
1200,2.030522,,2.721027e-04,19692.4,1663.99
1205,2.104363,,2.718332e-04,19682.5,1664.83
1210,2.091822,,2.715625e-04,19675.0,1665.47
1215,2.064024,,2.712907e-04,19680.7,1664.98
1220,2.105397,,2.710178e-04,19550.5,1676.07
1225,2.028117,,2.707437e-04,19587.8,1672.88
1230,2.057798,,2.704685e-04,19379.7,1690.84
1235,2.025396,,2.701922e-04,19365.5,1692.08
1240,2.107666,,2.699147e-04,19729.9,1660.83
1245,2.095457,,2.696361e-04,19623.8,1669.81
1250,1.994560,1.984976,2.693564e-04,,
1250,2.066636,,2.693564e-04,6136.0,5340.30
1255,2.056057,,2.690756e-04,18917.9,1732.11
1260,2.102050,,2.687936e-04,19260.3,1701.32
1265,1.985490,,2.685106e-04,19691.0,1664.11
1270,2.101368,,2.682264e-04,19670.5,1665.84
1275,2.087264,,2.679412e-04,19193.9,1707.21
1280,2.039454,,2.676548e-04,19687.8,1664.38
1285,2.049189,,2.673673e-04,19702.6,1663.13
1290,1.987213,,2.670788e-04,19665.7,1666.25
1295,2.054404,,2.667891e-04,19650.2,1667.57
1300,2.066148,,2.664984e-04,19586.4,1673.00
1305,2.064613,,2.662065e-04,19660.8,1666.66
1310,2.038636,,2.659136e-04,19619.7,1670.16
1315,2.092234,,2.656196e-04,19449.7,1684.76
1320,2.025278,,2.653246e-04,19631.5,1669.15
1325,2.030509,,2.650284e-04,19737.2,1660.22
1330,2.085119,,2.647312e-04,19705.8,1662.86
1335,1.991602,,2.644329e-04,19736.4,1660.29
1340,2.020684,,2.641335e-04,19732.2,1660.63
1345,2.012613,,2.638331e-04,19729.6,1660.86
1350,2.023717,,2.635316e-04,19732.6,1660.60
1355,2.043889,,2.632291e-04,19735.8,1660.34
1360,2.058058,,2.629255e-04,19735.5,1660.36
1365,2.069337,,2.626209e-04,19735.7,1660.34
1370,2.060349,,2.623152e-04,19684.9,1664.62
1375,2.048656,,2.620085e-04,19599.3,1671.90
1380,2.056844,,2.617008e-04,19735.7,1660.34
1385,1.994595,,2.613920e-04,19738.8,1660.08
1390,2.010582,,2.610821e-04,19736.3,1660.29
1395,2.056506,,2.607713e-04,19738.3,1660.12
1400,2.010311,,2.604594e-04,19735.0,1660.40
1405,2.039819,,2.601465e-04,19737.3,1660.21
1410,2.016140,,2.598326e-04,19737.5,1660.19
1415,1.983333,,2.595177e-04,19736.9,1660.24
1420,1.963767,,2.592017e-04,19734.5,1660.44
1425,2.017502,,2.588848e-04,19735.1,1660.39
1430,1.939559,,2.585668e-04,19735.3,1660.38
1435,2.011392,,2.582478e-04,19720.3,1661.64
1440,1.976719,,2.579279e-04,19729.2,1660.89
1445,2.001065,,2.576069e-04,19730.6,1660.77
1450,1.996025,,2.572850e-04,19731.5,1660.70
1455,2.031672,,2.569620e-04,19672.6,1665.66
1460,1.969235,,2.566381e-04,19732.7,1660.59
1465,2.006040,,2.563132e-04,19728.2,1660.97
1470,2.026745,,2.559873e-04,19477.2,1682.38
1475,1.980001,,2.556605e-04,19732.0,1660.65
1480,2.015575,,2.553326e-04,19729.2,1660.89
1485,2.013544,,2.550038e-04,19717.0,1661.92
1490,1.992877,,2.546741e-04,19725.9,1661.16
1495,2.063507,,2.543434e-04,19727.4,1661.04
1500,1.930115,1.918845,2.540117e-04,,
1500,1.964795,,2.540117e-04,6206.4,5279.67
1505,1.980420,,2.536791e-04,17645.3,1857.04
1510,1.976992,,2.533455e-04,19673.4,1665.60
1515,1.983078,,2.530110e-04,19603.5,1671.54
1520,2.009753,,2.526755e-04,19658.0,1666.90
1525,2.044598,,2.523391e-04,19393.7,1689.62
1530,1.983896,,2.520017e-04,19658.4,1666.87
1535,2.018905,,2.516635e-04,19660.5,1666.69
1540,1.992654,,2.513243e-04,19640.4,1668.40
1545,1.958229,,2.509841e-04,19460.1,1683.86
1550,2.071233,,2.506431e-04,19652.9,1667.34
1555,2.007132,,2.503011e-04,19647.7,1667.78
1560,1.975775,,2.499583e-04,19212.8,1705.53
1565,1.959502,,2.496145e-04,19622.3,1669.94
1570,1.977467,,2.492698e-04,19496.9,1680.67
1575,2.022703,,2.489242e-04,19659.2,1666.80
1580,1.959019,,2.485777e-04,19592.9,1672.44
1585,1.990278,,2.482303e-04,19447.3,1684.96
1590,1.969041,,2.478820e-04,19524.5,1678.30
1595,2.021682,,2.475328e-04,19621.6,1669.99
1600,1.928219,,2.471828e-04,19638.3,1668.57
1605,1.973866,,2.468319e-04,19625.6,1669.65
1610,1.977451,,2.464801e-04,19648.2,1667.73
1615,1.982433,,2.461274e-04,19667.0,1666.14
1620,2.037031,,2.457738e-04,19683.0,1664.78
1625,1.985868,,2.454194e-04,19652.9,1667.34
1630,2.028111,,2.450641e-04,19641.7,1668.29
1635,1.906898,,2.447080e-04,19450.3,1684.70
1640,1.913089,,2.443510e-04,17179.6,1907.38
1645,1.971486,,2.439932e-04,19519.9,1678.70
1650,1.925734,,2.436345e-04,19585.1,1673.11
1655,1.957338,,2.432750e-04,19619.8,1670.15
1660,1.950346,,2.429146e-04,19624.3,1669.77
1665,1.988427,,2.425534e-04,19409.3,1688.26
1670,1.960512,,2.421914e-04,19611.3,1670.87
1675,1.938622,,2.418285e-04,19659.7,1666.76
1680,1.970745,,2.414648e-04,19665.9,1666.23
1685,1.952362,,2.411003e-04,19646.3,1667.90
1690,1.972101,,2.407350e-04,19664.2,1666.37
1695,1.924644,,2.403689e-04,19681.0,1664.96
